,word1,word2,similarity
0,старый,новый,0.0
1,сообразительный,интеллектуальный,0.8310000000000001
2,тяжелый,трудный,0.8619999999999999
3,счастливый,радостный,0.8460000000000001
4,тяжелый,легкий,0.0
5,быстрый,скоростной,0.915
6,счастливый,довольный,0.8079999999999999
7,короткий,длинный,0.0
8,глупый,тупой,0.8230000000000001
9,чудный,странный,0.8539999999999999
10,широкий,узкий,0.0
11,плохой,ужасный,0.8619999999999999
12,легкий,трудный,0.0
13,плохой,ужасный,0.8619999999999999
14,трудный,простой,0.0
15,сообразительный,тупой,0.0
16,безумный,сумасшедший,0.931
17,большой,огромный,0.915
18,твердый,прочный,0.7769999999999999
19,новый,свежий,0.7769999999999999
20,острый,тупой,0.0
21,скорый,скоростной,0.915
22,тупой,дурацкий,0.754
23,странный,необычный,0.892
24,счастливый,злой,0.0
25,узкий,широкий,0.0
26,простой,легкий,0.7
27,старый,свежий,0.0
28,недорогой,дешевый,0.946
29,ненормальный,нормальный,0.0
30,ненормальный,необычный,0.5920000000000001
31,плохой,безнравственный,0.585
32,печальный,смешной,0.0
33,прекрасный,великолепный,0.938
34,виноватый,пристыжать,0.762
35,красивый,прекрасный,0.938
36,самоуверенный,уверенный,0.738
37,тупой,глупый,0.885
38,крупный,большой,0.946
39,милый,жестокий,0.0
40,большой,широкий,0.331
41,сильный,гордый,0.3229999999999999
42,ненужный,необходимый,0.0
43,неугомонный,молодой,0.185
44,тупой,интеллектуальный,0.0
45,плохой,великолепный,0.0
46,трудный,простой,0.0
47,необходимый,важный,0.738
48,честный,виноватый,0.0
49,легкий,трудный,0.0
50,покладистый,гибкий,0.4
51,убежденный,бесспорный,0.5920000000000001
52,неотъемлемый,необходимый,0.8150000000000001
53,необычный,обычный,0.0
54,хитрый,умный,0.338
55,решающий,важный,0.708
56,жесткий,жестокий,0.377
57,скудный,редкий,0.485
58,длинный,узкий,0.1
59,большой,тяжелый,0.292
60,грубый,равнодушный,0.285
61,эксцентричный,странный,0.631
62,нелегальный,безнравственный,0.162
63,плохой,виноватый,0.162
64,современный,старинный,0.0
65,новый,старый,0.0
66,скучный,смешной,0.0
67,счастливый,молодой,0.046
68,легкий,большой,0.0
69,прекрасный,ужасный,0.0
70,крошечный,огромный,0.0
71,вежливый,приличный,0.5379999999999999
72,скромный,пристыжать,0.162
73,тупой,умный,0.0
74,восхитительный,прекрасный,0.908
75,заметный,очевидный,0.6769999999999999
76,испуганный,встревожить,0.7769999999999999
77,официальный,приличный,0.231
78,восхитительный,радостный,0.523
79,печальный,ужасный,0.231
80,больной,сумасшедший,0.462
81,яростный,злой,0.746
82,грузить,тяжелый,0.638
83,грязный,дешевый,0.077
84,эластичный,гибкий,0.792
85,твердый,плотный,0.631
86,недавний,новый,0.6769999999999999
87,дерзкий,гордый,0.0849999999999999
88,скрытный,странный,0.315
89,странный,скрытный,0.2689999999999999
90,немой,редкий,0.0
91,скромный,покладистый,0.246
92,свежий,широкий,0.0
93,огромный,тупой,0.0
94,крупный,гибкий,0.0
95,грязный,узкий,0.0
96,жена,муж,0.0
97,книга,текст,0.5309999999999999
98,жених,невеста,0.0
99,ночь,день,0.0
100,юг,север,0.0
101,самолет,аэропорт,0.131
102,дядя,тетя,0.0
103,лошадь,кобыла,1.0
104,низ,верх,0.0
105,друг,приятель,0.931
106,учащийся,ученик,0.985
107,мир,земля,0.585
108,нога,рука,0.0
109,самолет,джет,0.5690000000000001
110,женщина,мужчина,0.0
111,актриса,актер,0.369
112,учитель,преподаватель,0.992
113,птица,ястреб,0.523
114,слово,словарь,0.2769999999999999
115,деньги,зарплата,0.754
116,собака,кошка,0.0
117,область,регион,0.908
118,флот,армия,0.4379999999999999
119,книга,литература,0.6
120,одежда,шкаф,0.092
121,закат,рассвет,0.0
122,ребенок,взрослый,0.0
123,корова,скот,0.8079999999999999
124,книга,история,0.1379999999999999
125,зима,лето,0.0
126,дерево,клен,0.523
127,кровать,спальня,0.246
128,крыша,потолок,0.2769999999999999
129,болезнь,инфекция,0.8310000000000001
130,рука,плечо,0.2
131,овца,ягненок,0.615
132,госпожа,господин,0.4379999999999999
133,лодка,якорь,0.2
134,священник,монах,0.738
135,палец,палец,0.992
136,река,поток,0.623
137,злость,ярость,0.885
138,дата,календарь,0.446
139,море,океан,0.5770000000000001
140,секунда,минута,0.2689999999999999
141,кисть,палец,0.3229999999999999
142,дерево,бревно,0.5920000000000001
143,проход,коридор,0.669
144,привычка,манера,0.8150000000000001
145,мышка,кошка,0.154
146,полицейский,шериф,0.8539999999999999
147,смерть,погребение,0.5309999999999999
148,музыка,мелодия,0.877
149,пиво,алкоголь,0.631
150,рот,губа,0.431
151,буря,ураган,0.8539999999999999
152,налог,доход,0.223
153,цветок,фиалка,0.631
154,бумага,картон,0.662
155,пол,потолок,0.131
156,пляж,побережье,0.662
157,гончая,лиса,0.062
158,улица,переулок,0.5690000000000001
159,судно,палуба,0.308
160,автомобиль,гудок,0.185
161,друг,гость,0.246
162,работодатель,работник,0.208
163,ядро,пушка,0.2769999999999999
164,победа,триумф,0.962
165,телефон,будка,0.262
166,дверь,проем,0.492
167,одежда,ткань,0.4
168,ноготь,палец,0.331
169,группа,оркестр,0.477
170,книга,библия,0.523
171,предприятие,промышленность,0.523
172,зима,сезон,0.392
173,десятилетие,век,0.208
174,алкоголь,джин,0.638
175,шляпа,пальто,0.123
176,окно,дверь,0.015
177,дом,квартира,0.6920000000000001
178,создатель,изготовитель,0.946
179,ужин,завтрак,0.031
180,рука,мускул,0.154
181,пузырь,пена,0.3229999999999999
182,хлеб,мука,0.515
183,смерть,трагедия,0.477
184,отсутствие,присутствие,0.008
185,ружье,пушка,0.338
186,мяч,корзина,0.077
187,шланг,сад,0.077
188,мальчик,ребенок,0.562
189,церковь,хор,0.146
190,одежда,ящик,0.031
191,башня,колокол,0.108
192,отец,родитель,0.946
193,школа,класс,0.369
194,родитель,взрослый,0.354
195,словарь,толкование,0.5690000000000001
196,дверь,подвал,0.038
197,армия,легион,0.6849999999999999
198,металл,алюминий,0.462
199,стул,скамейка,0.3
200,облако,туман,0.377
201,мальчик,сын,0.362
202,вода,лед,0.2
203,постель,одеяло,0.338
204,представитель,адвокат,0.615
205,область,зона,0.8079999999999999
206,предприятие,компания,0.923
207,одежда,ткань,0.3229999999999999
208,свитер,пиджак,0.154
209,деньги,капитал,0.8079999999999999
210,кисть,ступня,0.0
211,алкоголь,коктейль,0.5309999999999999
212,ярд,дюйм,0.262
213,молекула,атом,0.385
214,линза,фотоаппарат,0.177
215,глаз,слеза,0.177
216,бог,дьявол,0.008
217,петля,пояс,0.0849999999999999
218,крыса,мышь,0.346
219,мотор,двигатель,0.892
220,автомобиль,такси,0.415
221,кот,лев,0.115
222,размер,величина,0.8150000000000001
223,реальность,фантазия,0.023
224,дверь,ворота,0.315
225,кот,питомец,0.446
226,кость,челюсть,0.208
227,дом,ключ,0.062
228,кровь,плоть,0.123
229,дверь,коридор,0.0689999999999999
230,бог,дух,0.408
231,способность,компетенция,0.231
232,изобилие,множество,0.8690000000000001
233,диван,стул,0.123
234,стена,кирпич,0.192
235,рожок,барабан,0.062
236,орган,печень,0.315
237,сила,мощь,0.7769999999999999
238,фраза,слово,0.2
239,оркестр,парад,0.154
240,желудок,талия,0.0
241,туча,буря,0.238
242,радость,гордость,0.177
243,шум,грохот,0.762
244,пиво,напиток,0.4
245,мужчина,дядя,0.4379999999999999
246,яблоко,сок,0.1379999999999999
247,интеллект,логика,0.431
248,общение,язык,0.385
249,норка,мех,0.154
250,орава,толпа,0.7150000000000001
251,берег,побережье,0.762
252,провод,шнур,0.792
253,кровать,кроватка,0.9
254,компетенция,способность,0.254
255,вода,соль,0.0
256,чувство,интуиция,0.6849999999999999
257,ситуация,состояние,0.262
258,преступление,кража,0.5
259,стиль,мода,0.762
260,рубеж,граница,0.977
261,рука,тело,0.115
262,судно,автомобиль,0.0849999999999999
263,бутерброд,обед,0.215
264,невеста,принцесса,0.146
265,героиня,герой,0.654
266,автомобиль,датчик,0.162
267,насекомое,пчела,0.6459999999999999
268,кроватка,колыбель,0.769
269,животное,человек,0.254
270,марихуана,трава,0.585
271,койка,больница,0.238
272,щека,язык,0.2689999999999999
273,диск,компьютер,0.254
274,изгиб,угол,0.469
275,трава,мох,0.5
276,факультет,юриспруденция,0.192
277,ступня,голова,0.1379999999999999
278,алкоголь,висок,0.631
279,рот,зуб,0.315
280,ванная,спальня,0.108
281,тарелка,миска,0.8310000000000001
282,воздух,гелий,0.185
283,работник,работодатель,0.177
284,тело,грудь,0.362
285,сын,отец,0.146
286,сердце,операция,0.1
287,женщина,секретарь,0.154
288,мужчина,отец,0.508
289,пляж,остров,0.446
290,история,тема,0.185
291,игра,веселие,0.523
292,выходной,неделя,0.292
293,чета,пара,0.8079999999999999
294,женщина,жена,0.462
295,овца,скот,0.608
296,сумочка,сумка,0.938
297,потолок,собор,0.008
298,боб,кофе,0.2769999999999999
299,дерево,бумага,0.285
300,верх,бок,0.146
301,преступление,мошенничество,0.5690000000000001
302,боль,вред,0.215
303,возлюбленный,спутник,0.446
304,вечер,сумерки,0.7230000000000001
305,отец,дочь,0.192
306,вино,спиртное,0.6459999999999999
307,корова,коза,0.215
308,верование,мнение,0.131
309,реальность,иллюзия,0.015
310,пакт,соглашение,0.8539999999999999
311,богатство,бедность,0.023
312,происшествие,авария,0.492
313,битва,завоевание,0.408
314,друг,наставник,0.3
315,болезнь,инфекция,0.669
316,брат,сын,0.092
317,тетя,племянник,0.1379999999999999
318,работник,механик,0.254
319,дуб,клен,0.292
320,пчела,матка,0.2769999999999999
321,автомобиль,велосипед,0.1379999999999999
322,цель,поиск,0.062
323,август,месяц,0.285
324,армия,отряд,0.377
325,облако,погода,0.246
326,терапевт,врач,0.523
327,река,долина,0.023
328,солнце,небо,0.1689999999999999
329,мишень,стрела,0.108
330,шоколад,пирог,0.177
331,обстоятельство,ситуация,0.5920000000000001
332,мнение,выбор,0.177
333,ритм,мелодия,0.5
334,мужество,хладнокровие,0.254
335,день,рассвет,0.154
336,скот,бык,0.523
337,доктор,профессор,0.446
338,рука,вена,0.108
339,комната,ванна,0.0849999999999999
340,корпорация,предприятие,0.8310000000000001
341,развлечение,футбол,0.1689999999999999
342,холм,утес,0.354
343,яблоко,сладость,0.154
344,помощница,служанка,0.6
345,глава,руководитель,0.8619999999999999
346,лимон,чай,0.023
347,пчела,муравей,0.062
348,баскетбол,бейсбол,0.123
349,рис,боб,0.108
350,кровать,мебель,0.308
351,эмоция,страсть,0.385
352,анархия,хаос,0.754
353,преступление,нарушение,0.623
354,механизм,двигатель,0.508
355,пляж,море,0.346
356,дорожка,шар,0.0
357,банка,бутылка,0.3229999999999999
358,сила,способность,0.238
359,зерно,горчица,0.1379999999999999
360,гитара,барабан,0.0849999999999999
361,мнение,идея,0.3
362,север,запад,0.046
363,диета,салат,0.285
364,мать,жена,0.2
365,отец,мать,0.154
366,капитан,моряк,0.392
367,метр,ярд,0.485
368,пиво,шампанское,0.162
